Filename:	C:\Users\DSC\Desktop\MD\G7\G7-pet-tga.t6d 
Operator ID:	MD 
Sample ID:	G7-PET 
Comment: 	 
Serial Number:	016120108 
Data Collected:	09.03.2026 10:32:07 
Sample Weight:	2.644 mg 
Display Weight:	2.644 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\Calibrations\05_Okt_2017.t6c 
Date/Time:	 
Initial Conditions 
Temperature:	 30.00 °C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	1710 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 30.00°C to 600.00°C at 20.00°C/min 
 
1) TGA Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	1.550000	3.737316	0.000000	61.000000	43.410000	19.800000	0.000000 
	1.566667	3.737316	0.000000	61.333333	43.660000	19.800000	0.000000 
	1.583333	3.737948	0.000000	61.666667	43.910000	19.800000	0.000000 
	1.600000	3.737948	0.000000	62.000000	44.170000	19.800000	0.000000 
	1.616667	3.737316	0.000000	62.333333	44.420000	19.800000	0.000000 
	1.633333	3.737948	0.000000	62.666667	44.680000	19.800000	0.000000 
	1.650000	3.738790	0.000000	63.000000	44.930000	19.800000	0.000000 
	1.666667	3.745107	0.000000	63.333333	45.190000	19.800000	0.000000 
	1.683333	3.744475	0.000000	63.666667	45.450000	19.800000	0.000000 
	1.700000	3.746370	0.000000	64.000000	45.710000	19.800000	0.000000 
	1.716667	3.737737	0.000000	64.333333	45.980000	19.800000	0.000000 
	1.733333	3.736263	0.000000	64.666667	46.240000	19.800000	0.000000 
	1.750000	3.735842	0.000000	65.000000	46.510000	19.800000	0.000000 
	1.766667	3.736895	0.000000	65.333333	46.770000	19.800000	0.000000 
	1.783333	3.734368	0.000000	65.666667	47.040000	19.800000	0.000000 
	1.800000	3.736053	0.000000	66.000000	47.310000	19.800000	0.000000 
	1.816667	3.736474	0.000000	66.333333	47.580000	19.800000	0.000000 
	1.833333	3.731420	0.000000	66.666667	47.850000	19.800000	0.000000 
	1.850000	3.733105	0.000000	67.000000	48.120000	19.800000	0.000000 
	1.866667	3.734789	0.000000	67.333333	48.390000	19.800000	0.000000 
	1.883333	3.734579	0.000000	67.666667	48.670000	19.800000	0.000000 
	1.900000	3.733736	0.000000	68.000000	48.940000	19.800000	0.000000 
	1.916667	3.740685	0.000000	68.333333	49.210000	19.800000	0.000000 
	1.933333	3.739632	0.000000	68.666667	49.490000	19.800000	0.000000 
	1.950000	3.739421	0.000000	69.000000	49.770000	19.800000	0.000000 
	1.966667	3.740053	0.000000	69.333333	50.050000	19.800000	0.000000 
	1.983333	3.739632	0.000000	69.666667	50.320000	19.800000	0.000000 
	2.000000	3.739632	0.000000	70.000000	50.610000	19.800000	0.000000 
	2.016667	3.739843	0.000000	70.333333	50.890000	19.800000	0.000000 
	2.033333	3.739843	0.000000	70.666667	51.170000	19.800000	0.000000 
	2.050000	3.739632	0.000000	71.000000	51.450000	19.800000	0.000000 
	2.066667	3.740053	0.000000	71.333333	51.740000	19.800000	0.000000 
	2.083333	3.740264	0.000000	71.666667	52.030000	19.800000	0.000000 
	2.100000	3.740053	0.000000	72.000000	52.310000	19.800000	0.000000 
	2.116667	3.740264	0.000000	72.333333	52.600000	19.800000	0.000000 
	2.133333	3.740474	0.000000	72.666667	52.890000	19.800000	0.000000 
	2.150000	3.740474	0.000000	73.000000	53.180000	19.800000	0.000000 
	2.166667	3.741527	0.000000	73.333333	53.470000	19.800000	0.000000 
	2.183333	3.741106	0.000000	73.666667	53.760000	19.800000	0.000000 
	2.200000	3.741317	0.000000	74.000000	54.050000	19.800000	0.000000 
	2.216667	3.741738	0.000000	74.333333	54.350000	19.800000	0.000000 
	2.233333	3.741948	0.000000	74.666667	54.640000	19.800000	0.000000 
	2.250000	3.741948	0.000000	75.000000	54.940000	19.800000	0.000000 
	2.266667	3.741738	0.000000	75.333333	55.230000	19.800000	0.000000 
	2.283333	3.741948	0.000000	75.666667	55.530000	19.800000	0.000000 
	2.300000	3.741738	0.000000	76.000000	55.820000	19.800000	0.000000 
	2.316667	3.742159	0.000000	76.333333	56.120000	19.800000	0.000000 
	2.333333	3.741948	0.000000	76.666667	56.420000	19.800000	0.000000 
	2.350000	3.741948	0.000000	77.000000	56.720000	19.800000	0.000000 
	2.366667	3.742159	0.000000	77.333333	57.020000	19.800000	0.000000 
	2.383333	3.742580	0.000000	77.666667	57.320000	19.800000	0.000000 
	2.400000	3.741948	0.000000	78.000000	57.620000	19.800000	0.000000 
	2.416667	3.741948	0.000000	78.333333	57.920000	19.800000	0.000000 
	2.433333	3.741527	0.000000	78.666667	58.220000	19.800000	0.000000 
	2.450000	3.741948	0.000000	79.000000	58.520000	19.800000	0.000000 
	2.466667	3.741738	0.000000	79.333333	58.830000	19.800000	0.000000 
	2.483333	3.741948	0.000000	79.666667	59.130000	19.800000	0.000000 
	2.500000	3.742159	0.000000	80.000000	59.440000	19.800000	0.000000 
	2.516667	3.742159	0.000000	80.333333	59.740000	19.800000	0.000000 
	2.533333	3.742369	0.000000	80.666667	60.050000	19.800000	0.000000 
	2.550000	3.741948	0.000000	81.000000	60.350000	19.800000	0.000000 
	2.566667	3.742580	0.000000	81.333333	60.660000	19.800000	0.000000 
	2.583333	3.743001	0.000000	81.666667	60.970000	19.800000	0.000000 
	2.600000	3.743633	0.000000	82.000000	61.270000	19.800000	0.000000 
	2.616667	3.743422	0.000000	82.333333	61.580000	19.800000	0.000000 
	2.633333	3.743212	0.000000	82.666667	61.890000	19.800000	0.000000 
	2.650000	3.743422	0.000000	83.000000	62.200000	19.800000	0.000000 
	2.666667	3.743422	0.000000	83.333333	62.510000	19.800000	0.000000 
	2.683333	3.743422	0.000000	83.666667	62.820000	19.800000	0.000000 
	2.700000	3.743633	0.000000	84.000000	63.130000	19.800000	0.000000 
	2.716667	3.743633	0.000000	84.333333	63.440000	19.800000	0.000000 
	2.733333	3.743422	0.000000	84.666667	63.750000	19.800000	0.000000 
	2.750000	3.743212	0.000000	85.000000	64.060000	19.800000	0.000000 
	2.766667	3.743422	0.000000	85.333333	64.380000	19.800000	0.000000 
	2.783333	3.743422	0.000000	85.666667	64.690000	19.800000	0.000000 
	2.800000	3.743422	0.000000	86.000000	65.000000	19.800000	0.000000 
	2.816667	3.743422	0.000000	86.333333	65.320000	19.800000	0.000000 
	2.833333	3.743422	0.000000	86.666667	65.630000	19.800000	0.000000 
	2.850000	3.743422	0.000000	87.000000	65.940000	19.800000	0.000000 
	2.866667	3.743422	0.000000	87.333333	66.260000	19.800000	0.000000 
	2.883333	3.743633	0.000000	87.666667	66.570000	19.800000	0.000000 
	2.900000	3.748686	0.000000	88.000000	66.890000	19.800000	0.000000 
	2.916667	3.747844	0.000000	88.333333	67.210000	19.800000	0.000000 
	2.933333	3.747002	0.000000	88.666667	67.520000	19.800000	0.000000 
	2.950000	3.748265	0.000000	89.000000	67.840000	19.800000	0.000000 
	2.966667	3.741948	0.000000	89.333333	68.160000	19.800000	0.000000 
	2.983333	3.741106	0.000000	89.666667	68.480000	19.800000	0.000000 
	3.000000	3.741317	0.000000	90.000000	68.800000	19.800000	0.000000 
	3.016667	3.741948	0.000000	90.333333	69.120000	19.800000	0.000000 
	3.033333	3.741738	0.000000	90.666667	69.440000	19.800000	0.000000 
	3.050000	3.744054	0.000000	91.000000	69.760000	19.800000	0.000000 
